"","x"
"1",2.60315958921812
"2",2.57390240551112
"3",2.48222908844779
"4",2.32036388241156
"5",2.09546261173481
"6",1.81747238855366
"7",1.51101407938988
"8",1.19280326790008
"9",0.811332892705559
"10",0.479901474559363
"11",0.108005323915169
"12",-0.207890106473367
"13",-0.533733881645862
"14",-0.805092215067729
"15",-1.06374799060167
"16",-1.24815521374261
"17",-1.36551124687463
"18",-1.43768669480072
"19",-1.44188213754939
"20",-1.40919034784185
"21",-1.29940351550167
"22",-1.18231224284137
"23",-0.996741466494102
"24",-0.803254264517307
"25",-0.551926103930554
"26",-0.330904324747326
"27",-0.107371128524778
"28",0.128117679714795
"29",0.31111047798494
"30",0.467859814566428
"31",0.589723972743364
"32",0.656724281857799
"33",0.703466512230553
"34",0.641987558775227
"35",0.578541477318841
"36",0.445847944448322
"37",0.275727044113106
"38",0.0693935854725634
"39",-0.184675905317163
"40",-0.460987870927386
"41",-0.743235476862212
"42",-1.04413224452386
"43",-1.30404951394184
"44",-1.57289985465145
"45",-1.80239638962336
"46",-1.96307876008201
"47",-2.12197395230627
"48",-2.18535545912824
"49",-2.2170382861382
"50",-2.16824170554424
"51",-2.07068707014337
"52",-1.89075204284835
"53",-1.67138767905615
"54",-1.40700671204915
"55",-1.08504742619116
"56",-0.713770066236959
"57",-0.346820806364883
"58",0.0405246325911255
"59",0.425604480076964
"60",0.80640373734058
"61",1.15752028236703
"62",1.47453422651797
"63",1.76517549588444
"64",2.00065188669458
"65",2.14865001263567
"66",2.26720377351536
"67",2.33069925358169
"68",2.27486298480504
"69",2.2001415176936
"70",2.06717915027301
"71",1.86634391393742
"72",1.64269646982489
"73",1.38692706131041
"74",1.10125978692458
"75",0.788988890945535
"76",0.482184400828841
"77",0.205533625887433
"78",-0.0366329603996624
"79",-0.308923516184395
"80",-0.466502132378032
"81",-0.619933702115195
"82",-0.716090053268248
"83",-0.769162511555045
"84",-0.754770860729655
"85",-0.684865061370457
"86",-0.57597988781304
"87",-0.434202742215148
"88",-0.253840896383665
"89",-0.028030311546096
"90",0.190949023109071
"91",0.414506873210986
"92",0.640082389575276
"93",0.846718220098927
"94",1.0309019596192
"95",1.18149931396457
"96",1.25424215321647
