"","x"
"1",2.59930332303433
"2",2.57892512786423
"3",2.47739027625205
"4",2.3076474693101
"5",2.10039053161229
"6",1.83659889170296
"7",1.50845220094186
"8",1.17750298096824
"9",0.810115218883706
"10",0.475622433295203
"11",0.11637554713418
"12",-0.219778985395513
"13",-0.554578875578486
"14",-0.831018982956101
"15",-1.06023145626823
"16",-1.24779884651511
"17",-1.36173116080074
"18",-1.43243900445088
"19",-1.45028273718191
"20",-1.41496987404972
"21",-1.30317086437828
"22",-1.18567061540581
"23",-1.0023542143381
"24",-0.776502049176536
"25",-0.577577930562307
"26",-0.322849764363323
"27",-0.10135536459297
"28",0.103289236350495
"29",0.292590081113785
"30",0.452164872572516
"31",0.579207016724202
"32",0.666915656173534
"33",0.69976535945363
"34",0.676271693550684
"35",0.571856152881873
"36",0.451896303836571
"37",0.272250246803232
"38",0.0395785274114261
"39",-0.188874348644867
"40",-0.44689181393351
"41",-0.765093488381549
"42",-1.0299243707405
"43",-1.30758847012832
"44",-1.56742394186191
"45",-1.79585064152411
"46",-1.99407758858946
"47",-2.11269665645454
"48",-2.19453068061372
"49",-2.20634075211903
"50",-2.16569448989995
"51",-2.06991759100198
"52",-1.89722318230799
"53",-1.67465036365227
"54",-1.3782265623796
"55",-1.0780586060303
"56",-0.701094964786245
"57",-0.346518928701446
"58",0.0513159474842106
"59",0.413243344569309
"60",0.822390983121941
"61",1.17180581606729
"62",1.49662685796195
"63",1.75724991191129
"64",1.98965587059301
"65",2.14901861826312
"66",2.26168473334442
"67",2.30110531658433
"68",2.29206438615719
"69",2.20437314615
"70",2.06001154319438
"71",1.8733096203348
"72",1.64330993581125
"73",1.39609553156838
"74",1.08892446836363
"75",0.806404245365108
"76",0.493373540097404
"77",0.211239711851818
"78",-0.0549914330224891
"79",-0.28803132515795
"80",-0.484428822361516
"81",-0.612881942005338
"82",-0.712885467141729
"83",-0.756708538287525
"84",-0.749668908749442
"85",-0.687930651428275
"86",-0.585571424636502
"87",-0.431497862525749
"88",-0.252241716598394
"89",-0.0348828130347618
"90",0.191393585443031
"91",0.412424839908395
"92",0.647040531643655
"93",0.847712728355216
"94",1.029654229969
"95",1.16404800157271
"96",1.27468958184081
"97",1.32254607425968
"98",1.32134826218649
"99",1.24665832171105
"100",1.11151366779229
"101",0.931207344654331
"102",0.726224295812724
"103",0.483393683461147
"104",0.163759506157997
"105",-0.174602461921216
"106",-0.519342910437294
"107",-0.884912008743126
"108",-1.22575919108529
"109",-1.56438356844313
"110",-1.85625976906459
"111",-2.11785524768308
"112",-2.30918215356326
"113",-2.49327736977055
"114",-2.56669071129388
"115",-2.57966611414469
"116",-2.54775113383249
"117",-2.4466149604009
"118",-2.28229143006331
"119",-2.05233552117871
"120",-1.79561640889551
"121",-1.46907832462952
"122",-1.11796505660109
"123",-0.769248981554776
"124",-0.418511812072626
"125",-0.0480011104453949
"126",0.311314343040751
"127",0.644054953394575
"128",0.917945454110593
"129",1.17757838083227
"130",1.35829034086531
"131",1.49576806766191
"132",1.56507929748073
"133",1.57912547506933
"134",1.54539512272409
"135",1.46706415772308
"136",1.31201715885893
"137",1.13395737746508
"138",0.922169955283609
"139",0.694866464929423
"140",0.446136548997487
"141",0.232688634263558
"142",0.00101649791930135
"143",-0.217313291691922
"144",-0.388796102622129
"145",-0.505769340319577
"146",-0.613041414697168
"147",-0.65073989297295
"148",-0.6361740620005
"149",-0.551573544755136
"150",-0.444605016680882
"151",-0.285638569779877
"152",-0.0683033442038204
"153",0.158269031810787
"154",0.420878055427926
"155",0.680797429286104
"156",0.956510031536234
"157",1.24041974855933
"158",1.4900457851924
"159",1.69645435295822
"160",1.88542281105891
"161",2.01653885907552
"162",2.07796967185343
"163",2.09151883060307
"164",2.07051402787549
"165",1.95148149720632
"166",1.77986172918549
"167",1.55209551838724
"168",1.2851675565842
"169",0.956170776996536
"170",0.612073947123742
"171",0.232054434307577
"172",-0.158695664216272
"173",-0.533160875099997
"174",-0.934330396445392
"175",-1.27517966458069
"176",-1.59211308618458
"177",-1.87382946088869
"178",-2.09074710695204
"179",-2.25900436985923
"180",-2.35395136116803
"181",-2.39495877959461
"182",-2.35472210715579
"183",-2.25405829860186
"184",-2.12281472642105
"185",-1.92467637008684
"186",-1.68790704345754
"187",-1.4074392088736
"188",-1.13060216052125
"189",-0.808898482290833
"190",-0.496459471986216
"191",-0.217609476660661
"192",0.0942946034709535
"193",0.315840438756755
"194",0.533834836462713
"195",0.675226925988622
"196",0.769037211180763
"197",0.833021278279393
"198",0.827752754107426
"199",0.763934986883355
"200",0.665658677963317
"201",0.552678078448332
"202",0.360565144991208
"203",0.157283099394549
"204",-0.0690905420756632
"205",-0.309402021598961
"206",-0.51537026885585
"207",-0.721745004098868
"208",-0.894244450453419
"209",-1.02956892541422
"210",-1.12047734141384
"211",-1.18937649219129
"212",-1.19344870431908
"213",-1.11506659211416
"214",-1.02765323093763
"215",-0.841728038670693
"216",-0.624775505183504
"217",-0.38410831290941
"218",-0.0958248453981231
"219",0.255297790324844
"220",0.589092624664113
"221",0.933846183677264
"222",1.26275773442369
"223",1.58436743173447
"224",1.86183534407936
"225",2.12998798979135
"226",2.33064642916477
"227",2.45826814838675
"228",2.54510815547649
"229",2.52205098261983
"230",2.5041383246873
"231",2.39701585248369
"232",2.22270570722491
"233",1.98615806149118
"234",1.72863971930628
"235",1.39204229471448
"236",1.03773386280764
"237",0.666617486443231
"238",0.312789074143645
"239",-0.0681788660412528
"240",-0.398921990657042
"241",-0.749400606607487
"242",-1.03942068591167
"243",-1.27148910174581
"244",-1.47292236077281
"245",-1.60370106277175
"246",-1.69351918921215
"247",-1.70913529835012
"248",-1.64880592344144
"249",-1.55956472384348
"250",-1.42343918901791
"251",-1.22528164819951
"252",-1.02507034238738
"253",-0.806476266603791
"254",-0.528467093317842
"255",-0.312224716003756
"256",-0.0975295937786813
"257",0.135854490224269
"258",0.318978178165841
"259",0.446845636495
"260",0.570499001841945
"261",0.602525447323034
"262",0.61220578337358
"263",0.540912812981148
"264",0.443640435082232
"265",0.285183332578619
"266",0.0852811407660642
"267",-0.140446606429134
"268",-0.393039385907062
"269",-0.653289999982778
"270",-0.920829592585028
"271",-1.19228578733952
"272",-1.41474171888184
"273",-1.61607537298843
"274",-1.81292717999702
"275",-1.91723373860516
"276",-1.97416625418079
"277",-1.98115754825284
"278",-1.93602010785572
"279",-1.83466770474913
"280",-1.64927379363145
"281",-1.40250189143362
"282",-1.13367952697632
"283",-0.826310612657449
"284",-0.475573546097904
"285",-0.0931365427826783
"286",0.306161649121902
"287",0.66205003876637
"288",1.05576024112135
"289",1.39730748625299
"290",1.68712863901465
"291",1.97032058428503
"292",2.17169641623808
"293",2.33057496731837
"294",2.40783745972152
"295",2.44157802730253
"296",2.41181048541427
"297",2.31913010699079
