"","x"
"1",2.60004316048231
"2",2.57020948080645
"3",2.45995622413066
"4",2.32122862671427
"5",2.1152436788101
"6",1.82953365688227
"7",1.5109475148438
"8",1.18459289705691
"9",0.832575937659426
"10",0.4604773040323
"11",0.109222128464292
"12",-0.231906838770154
"13",-0.548440795275036
"14",-0.806864113965329
"15",-1.06663489018599
"16",-1.26995559701436
"17",-1.36898471715047
"18",-1.41685587319924
"19",-1.47299510348492
"20",-1.41292221820166
"21",-1.32183153931888
"22",-1.15525717689088
"23",-0.992106516072956
"24",-0.792568842580006
"25",-0.567371835547614
"26",-0.335227275089171
"27",-0.0989820858179441
"28",0.105674769884014
"29",0.321352505846222
"30",0.474545680827861
"31",0.595692682393384
"32",0.65549371476634
"33",0.694639378324702
"34",0.665639591971307
"35",0.575522123012792
"36",0.455060445231632
"37",0.277386240589415
"38",0.0685066649856699
"39",-0.172065862230975
"40",-0.459522755825334
"41",-0.754498846887866
"42",-1.03494670102189
"43",-1.31060727363409
"44",-1.55935525318865
"45",-1.80234135401796
"46",-1.97620076002367
"47",-2.09725992197015
"48",-2.18806159767716
"49",-2.20808291731699
"50",-2.17545213628161
"51",-2.07429934918324
"52",-1.88503135319647
"53",-1.68416490383936
"54",-1.40591759207495
"55",-1.07162237071865
"56",-0.724507050848514
"57",-0.360451864529865
"58",0.0491376189685569
"59",0.447031368155226
"60",0.811836240761449
"61",1.19132012658085
"62",1.50337573086148
"63",1.77151174597336
"64",1.99601417540714
"65",2.15070989169717
"66",2.26617539117727
"67",2.31138449375969
"68",2.2852192013648
"69",2.19372004782184
"70",2.05851092061288
"71",1.88463180552491
"72",1.65741298073339
"73",1.36362699979976
"74",1.10056429796428
"75",0.80407716966987
"76",0.506193527221578
"77",0.20453659107178
"78",-0.0430390581648003
"79",-0.281430435090091
"80",-0.46740502986629
"81",-0.616328770327548
"82",-0.720951700555564
"83",-0.765185658423646
"84",-0.748497563410661
"85",-0.691304769995543
"86",-0.58455550279399
"87",-0.428250619840155
"88",-0.253089184730729
"89",-0.0374943693694366
"90",0.190154773171579
"91",0.398519055680349
"92",0.647624536390496
"93",0.847603622489258
"94",1.04328050402648
"95",1.16814833830223
"96",1.2634802112948
"97",1.31119004396656
"98",1.31965009940245
"99",1.25152882624231
"100",1.13073566047057
"101",0.959186407664132
"102",0.735835199050263
"103",0.452991820272052
"104",0.163001079195261
"105",-0.187038918113184
"106",-0.519973340837652
"107",-0.897947961528635
"108",-1.21037916386082
"109",-1.55177144240523
"110",-1.85431084851479
"111",-2.10788918180093
"112",-2.33166960873543
"113",-2.48028659640122
"114",-2.55549904830421
"115",-2.5884186734183
"116",-2.54023695966973
"117",-2.45265918483499
"118",-2.29267340512536
"119",-2.04727986860975
"120",-1.80171315910906
"121",-1.46524236921216
"122",-1.12786124354105
"123",-0.778726483896701
"124",-0.397358265038519
"125",-0.0510019393393808
"126",0.332224329551799
"127",0.628008037578967
"128",0.911924029595504
"129",1.15618359788936
"130",1.35419727084076
"131",1.49634113660737
"132",1.57453726944068
"133",1.60350905217783
"134",1.54314895607927
"135",1.47677120721782
"136",1.31935385435489
"137",1.15612458392628
"138",0.918846901895358
"139",0.695317131634217
"140",0.46089327106708
"141",0.219299956388145
"142",-0.00428499920310137
"143",-0.206586489611127
"144",-0.370745485837367
"145",-0.508738912979314
"146",-0.598703081996497
"147",-0.630847493218196
"148",-0.612331803464707
"149",-0.560835418007517
"150",-0.457893165332078
"151",-0.277991734132924
"152",-0.0827580931388018
"153",0.158768574523488
"154",0.404983875329468
"155",0.690375299922807
"156",0.973179135617061
"157",1.24976289439419
"158",1.48453789491067
"159",1.72032700508721
"160",1.88274321777794
"161",2.01246692318967
"162",2.07096216579735
"163",2.09831206564445
"164",2.0537097248935
"165",1.96273242498617
"166",1.80229516292182
"167",1.5564176336383
"168",1.278516156972
"169",0.962656266656251
"170",0.608999841449701
"171",0.225755292457626
"172",-0.158623325758583
"173",-0.5348249112223
"174",-0.924347593605118
"175",-1.26380876985712
"176",-1.59078581091351
"177",-1.87726522582343
"178",-2.07072920809261
"179",-2.24851894614168
"180",-2.35753297606496
"181",-2.37291150419381
"182",-2.36705097309031
"183",-2.28654622966206
"184",-2.11830939948947
"185",-1.92724039016066
