"","x"
"1",2.60680824472675
"2",2.56499011119981
"3",2.4783301556607
"4",2.31422109264873
"5",2.09621152262835
"6",1.82845424568885
"7",1.52562382260109
"8",1.18950876796485
"9",0.837183764287765
"10",0.471137172609072
"11",0.106662912841252
"12",-0.237924941289646
"13",-0.541631131867329
"14",-0.824300611052061
"15",-1.05377162380077
"16",-1.24551638242849
"17",-1.3722791922089
"18",-1.45286580384775
"19",-1.47210030926428
"20",-1.42416618004905
"21",-1.30539785005395
"22",-1.18086273235083
"23",-0.979661821338793
"24",-0.790815757838049
"25",-0.580097016280863
"26",-0.333285020677835
"27",-0.110495736717962
"28",0.103043422855534
"29",0.313446819141685
"30",0.48627227588193
"31",0.594478418397114
"32",0.65653281264653
"33",0.679250197498814
"34",0.661164281451196
"35",0.588237775747086
"36",0.427643322251462
"37",0.290238442264735
"38",0.0451592659420732
"39",-0.184571396858153
"40",-0.461067802108248
"41",-0.748296027195486
"42",-1.0208944459887
"43",-1.29856223073015
"44",-1.58431021297481
"45",-1.79180255560668
"46",-1.9620501105099
"47",-2.1141590631869
"48",-2.21059499793654
"49",-2.1972759502479
"50",-2.1709397259874
"51",-2.06637172407665
"52",-1.88371186109267
"53",-1.65606621594862
"54",-1.39528637397374
"55",-1.0588484716152
"56",-0.706814569177272
"57",-0.338959527550882
"58",0.0381279940503838
"59",0.439605859198714
"60",0.814604784217547
"61",1.17083555996123
"62",1.49078456506232
"63",1.75070885926516
"64",1.988613269909
"65",2.16673334197901
"66",2.26888207396657
"67",2.27308617180479
"68",2.30057554617044
"69",2.21122548391092
"70",2.05555975804444
"71",1.88095017943235
"72",1.62702737858222
"73",1.38679962973921
"74",1.09119859662955
"75",0.790876509447293
"76",0.506582096432428
"77",0.207672245739527
"78",-0.0434883298141965
"79",-0.27298816969946
"80",-0.466957905922254
"81",-0.637851438767005
"82",-0.730199348448946
"83",-0.761573937169085
"84",-0.754769533699056
"85",-0.70514423885124
"86",-0.585206248080295
"87",-0.424850591045194
"88",-0.259938320553643
"89",-0.0171643580976104
"90",0.210171810114676
"91",0.422256444487774
"92",0.641737634828169
"93",0.844775156833942
"94",1.02346686130842
"95",1.17065577020177
"96",1.27387629398127
"97",1.30575731448347
"98",1.31195692040897
"99",1.2592961290675
"100",1.13598143760986
"101",0.960904745140238
"102",0.740222668045462
"103",0.454957071355205
"104",0.165560327988201
"105",-0.175056819764397
"106",-0.539039217452974
"107",-0.881535127900214
"108",-1.22918729224632
"109",-1.5391609696593
"110",-1.84599369804127
"111",-2.12040444039029
"112",-2.32358440624832
"113",-2.45993943812771
"114",-2.542736463222
"115",-2.57226802325023
"116",-2.55546982483942
"117",-2.42909083958273
"118",-2.26046457099638
"119",-2.07768764324287
"120",-1.798445663947
"121",-1.46557981610058
"122",-1.13822000893762
"123",-0.778895816508866
"124",-0.382273359425574
"125",-0.0190323631464631
"126",0.319076973407157
"127",0.636139263027418
"128",0.926597819445732
"129",1.1760308658437
"130",1.34932828669949
"131",1.4701355162929
"132",1.57428572687892
"133",1.58353586620461
"134",1.55489616881726
"135",1.45290638122925
"136",1.31357631030218
"137",1.1387707303203
"138",0.934784346899626
"139",0.696119571202685
"140",0.445891644640192
"141",0.232326864752711
"142",0.00334255951496305
"143",-0.219158606723124
"144",-0.375872322874551
"145",-0.530250609191379
"146",-0.600994136136005
"147",-0.61533119162592
"148",-0.608566619305639
"149",-0.555526106356576
"150",-0.441396148923882
"151",-0.273730823738195
"152",-0.0768135942779909
"153",0.159522024695863
"154",0.422071546016563
"155",0.699342747349474
"156",0.976964902749433
"157",1.24900313330797
"158",1.47260262357999
"159",1.69038571424116
"160",1.87406391840279
"161",2.0136656442357
"162",2.07520787543976
"163",2.11178551470749
"164",2.07241486116517
"165",1.93403513493338
"166",1.80858674859364
"167",1.56515170687758
"168",1.28480755553789
"169",0.96049976781245
"170",0.605244303797661
"171",0.224831530191372
"172",-0.15473033346147
"173",-0.537629351660381
"174",-0.927352212014291
"175",-1.27339747249036
"176",-1.59545538728227
"177",-1.85977789810475
"178",-2.06743113556729
"179",-2.24261762213499
"180",-2.34785264434637
"181",-2.38343215688018
"182",-2.36879574943751
"183",-2.26314432380231
"184",-2.11560156611329
"185",-1.91726768566643
"186",-1.68997730771288
"187",-1.43677086085319
"188",-1.11974184937373
"189",-0.829722773658547
"190",-0.510221044218172
"191",-0.206586665679887
"192",0.0744529728150521
"193",0.314309726175659
"194",0.518618313644578
"195",0.668488024615652
"196",0.761566587917544
"197",0.836374861830242
"198",0.841039877184272
"199",0.783640544257643
"200",0.682823157262962
"201",0.537497393526388
"202",0.357134153084678
"203",0.144961954862507
"204",-0.0548363621217151
"205",-0.308346511535216
"206",-0.498804193428799
"207",-0.705470461786903
"208",-0.897059105856492
"209",-1.02133451716849
