"","x"
"1",2.59895518290344
"2",2.55468223207267
"3",2.45507668670776
"4",2.28657362620924
"5",2.08104127470213
"6",1.84379856138579
"7",1.50492224417944
"8",1.18720508089318
"9",0.821323683774951
"10",0.472338493562672
"11",0.109015455802611
"12",-0.232326225171861
"13",-0.555546277670801
"14",-0.83736468243313
"15",-1.06215477045083
"16",-1.23962414410796
"17",-1.37480164948302
"18",-1.4392009519954
"19",-1.44507688245424
"20",-1.41033021122439
"21",-1.31625548745646
"22",-1.16474879630883
"23",-0.998835643721053
"24",-0.781223840908933
"25",-0.560362585666554
"26",-0.325058408273142
"27",-0.0975400797496607
"28",0.123397260948869
"29",0.333652836861953
"30",0.459642296477178
"31",0.586949553258729
"32",0.66062204071869
"33",0.677743538475591
"34",0.670876099311353
"35",0.572465167865355
"36",0.448759395944842
"37",0.258673794488079
"38",0.0526408725199079
"39",-0.176648927470071
"40",-0.464642715764578
"41",-0.76322518881141
"42",-1.03582320482836
"43",-1.31740765856882
"44",-1.58014469339365
"45",-1.79818367704898
"46",-1.99335031590965
"47",-2.11824577635396
"48",-2.17537298076221
"49",-2.20975893612853
"50",-2.15460000392602
"51",-2.04614554224047
"52",-1.88949621740328
"53",-1.67092706792136
"54",-1.40920020255814
"55",-1.0844224110564
"56",-0.720766986975892
"57",-0.344580689366965
"58",0.0560349442500346
"59",0.416392563102339
"60",0.809670173637693
"61",1.17163944404688
"62",1.48910097065542
"63",1.76184968411229
"64",1.99226682139535
"65",2.16912716514482
"66",2.28451545909561
"67",2.31094499527985
"68",2.27325403724576
"69",2.20059599527024
"70",2.05291517183418
"71",1.89367846664957
"72",1.63675956577368
"73",1.37762702001593
"74",1.08906520312325
"75",0.786925176074697
"76",0.494335022678424
"77",0.209261832737111
"78",-0.0625863546787926
"79",-0.272153205985956
"80",-0.47014650417104
"81",-0.613167749574927
"82",-0.729759638543692
"83",-0.767179214572757
"84",-0.742706335277486
"85",-0.710858310258817
"86",-0.578690494084565
"87",-0.427886290572819
"88",-0.242126886594211
"89",-0.0381505059326049
"90",0.162534589621621
"91",0.414383799073306
"92",0.638686194474398
"93",0.8376283009583
"94",1.02245825563711
"95",1.15695706404843
"96",1.26800534305736
"97",1.30751290495722
"98",1.31286230356114
"99",1.25627313528667
"100",1.12824477737308
"101",0.956077757704385
"102",0.723100150203443
"103",0.457933978908618
"104",0.154507082945292
"105",-0.180813039615222
"106",-0.529455252473258
"107",-0.893457697843259
"108",-1.22102229650307
"109",-1.55779223578642
"110",-1.85626727401473
"111",-2.10071817656798
"112",-2.30945267311076
"113",-2.48061586773876
"114",-2.54853537838222
"115",-2.58592931182532
"116",-2.56728771297631
"117",-2.44284391405386
"118",-2.28168520443275
"119",-2.04939987823505
"120",-1.79288343189905
"121",-1.48702057170436
"122",-1.13283466298124
"123",-0.787208787605586
"124",-0.406039033089305
"125",-0.0491528263934497
"126",0.303617715322176
"127",0.640435094136699
"128",0.932379874507056
"129",1.17460085363528
"130",1.34128259493188
"131",1.48768192618095
"132",1.56871743000304
"133",1.5886314773186
"134",1.55804420457984
"135",1.46710116101523
"136",1.303574188821
"137",1.13800802861755
"138",0.940108688128836
"139",0.698527570195652
"140",0.450594285943182
"141",0.227130886239833
"142",-0.0223677403363533
"143",-0.218063960541106
"144",-0.388346157397695
"145",-0.537558664965024
"146",-0.590000814360629
"147",-0.625878068042787
"148",-0.627736637650685
"149",-0.533844146419864
"150",-0.449404768873615
"151",-0.277411661910268
"152",-0.0820380935692393
"153",0.169464173800011
"154",0.421482951451614
"155",0.689003551883517
"156",0.974728683932113
"157",1.24594784637283
"158",1.48086676471431
"159",1.70423588534681
"160",1.89760045317577
"161",2.01276296188881
"162",2.08321987231289
"163",2.10915586263922
"164",2.06952801974491
"165",1.94018162662422
"166",1.7842367768998
"167",1.55281508105914
"168",1.27939842736698
"169",0.961364514606834
"170",0.603031493685814
"171",0.234283294056946
"172",-0.134992800693961
"173",-0.546282477593455
"174",-0.915771732818078
"175",-1.27332112168381
"176",-1.57419475649143
"177",-1.86143073320392
"178",-2.08675699193756
"179",-2.26202777045439
"180",-2.33398225254337
"181",-2.37649919543622
"182",-2.36001228779984
"183",-2.27331272478341
"184",-2.12316796126322
"185",-1.92808990864931
"186",-1.68929059201468
"187",-1.41180559911516
"188",-1.11571692735572
"189",-0.818308528125751
"190",-0.497614527722352
"191",-0.199222473049974
"192",0.0718262465336532
"193",0.304437296295212
"194",0.510135845811971
"195",0.65709703478629
"196",0.802565649105837
"197",0.832187374143566
"198",0.825311581641054
"199",0.770606459574345
"200",0.686683883555957
"201",0.544791473272357
"202",0.35300091197214
"203",0.168724639964696
"204",-0.0564155935613983
"205",-0.294895032791846
"206",-0.505032667920433
"207",-0.705178382169522
"208",-0.898675270289396
"209",-1.01410789621899
"210",-1.13826992684558
"211",-1.19593451481032
"212",-1.19984882565134
"213",-1.12221523585747
"214",-1.0306851673131
"215",-0.863512671087682
"216",-0.6297055799163
"217",-0.365145953982409
"218",-0.0671167192963441
"219",0.258228019950203
"220",0.567788294207205
"221",0.931482664337143
"222",1.24182788511176
"223",1.58280791844744
"224",1.87474984480738
"225",2.1206765686862
"226",2.33035028770056
"227",2.46759025471195
"228",2.55521271212471
"229",2.56802783154247
"230",2.50013438856746
"231",2.40643307656342
"232",2.22392903803219
"233",1.98358647880347
"234",1.71434087716231
"235",1.3944727148692
"236",1.04110434510569
"237",0.669372788689971
"238",0.303848536224359
"239",-0.0578716759574462
"240",-0.419440487039323
"241",-0.752505696057316
"242",-1.03342848892138
"243",-1.28782634210843
"244",-1.4678912067133
"245",-1.60343332560969
"246",-1.67445188395907
"247",-1.69111720012637
"248",-1.63832640639644
"249",-1.56290427220971
"250",-1.40225511255354
"251",-1.23962294820872
"252",-1.02273554255358
"253",-0.807187303731611
"254",-0.545242002737301
"255",-0.312096335154099
"256",-0.0715901475366211
"257",0.13910174440978
"258",0.311600534273223
"259",0.469199532529247
"260",0.555805415051611
"261",0.601227469230433
"262",0.59280443561641
"263",0.54354238452209
"264",0.427000329582349
"265",0.285585593068773
"266",0.0838908686918981
"267",-0.13477388711509
"268",-0.397368547570154
"269",-0.65253272604621
"270",-0.910052572380792
"271",-1.17796299736551
"272",-1.42550126761443
"273",-1.63332324155878
"274",-1.7817039842632
"275",-1.9154401046436
"276",-1.9647340573724
"277",-1.99603637483978
"278",-1.93058154999185
"279",-1.82284178045805
"280",-1.63750731682828
"281",-1.42774980911541
"282",-1.14170259176859
"283",-0.826610700409664
"284",-0.483260363967036
"285",-0.0940304119656103
"286",0.279129178112406
"287",0.67504061861236
"288",1.04154953189879
"289",1.40563410155291
"290",1.69913370606628
"291",1.94746625165892
"292",2.17802330782004
"293",2.31167553141007
"294",2.43808943580737
"295",2.44345506179418
"296",2.4029747588535
"297",2.29110424930443
"298",2.1520094788422
"299",1.92791960526401
"300",1.69090175491649
"301",1.40690361221459
"302",1.10127370870393
"303",0.773183124528224
"304",0.455701385573799
"305",0.173412805842598
"306",-0.118263920808731
"307",-0.362473765279618
"308",-0.577878615806453
"309",-0.736570283331525
"310",-0.847183914973288
"311",-0.901344412021582
"312",-0.918345610228833
"313",-0.854382184413348
"314",-0.76440574236666
"315",-0.626545486324864
"316",-0.456578260785737
"317",-0.244951750375474
"318",-0.0380005035976542
"319",0.194278305938256
"320",0.397624189394663
"321",0.584924926935215
"322",0.775905875782409
"323",0.934105580892723
"324",1.01727030067188
"325",1.07928792014299
"326",1.058488915134
"327",1.00283050075765
"328",0.890769202223123
"329",0.732172331510314
"330",0.536018936631946
"331",0.262888428977072
"332",-0.0299095655817074
"333",-0.33579581423039
"334",-0.656471913810761
"335",-0.998141890315192
"336",-1.31981081840499
"337",-1.62310610296577
"338",-1.8763557257335
"339",-2.14062094193455
"340",-2.31126492574333
"341",-2.44248429041511
"342",-2.49161868110973
"343",-2.51403552816506
"344",-2.42626717050455
"345",-2.31289492448138
"346",-2.12389033507401
"347",-1.88733393110422
"348",-1.60783667648362
"349",-1.27440416302431
"350",-0.91581705428553
"351",-0.544178904209317
"352",-0.175925453844896
"353",0.212755928156953
"354",0.556648669670946
"355",0.896193094243752
"356",1.17942870300499
"357",1.41235425183412
"358",1.59796445345589
"359",1.73378614087878
"360",1.79690580755486
"361",1.80746980161205
"362",1.75208786754381
"363",1.65701063241615
"364",1.49856401381395
"365",1.31103889625874
"366",1.08347581731735
"367",0.851896739896665
"368",0.590131283663419
"369",0.355035192109513
"370",0.134177301032493
"371",-0.0903560441199859
"372",-0.283570933715825
"373",-0.429452187430508
"374",-0.531176447504088
"375",-0.57030923235034
"376",-0.579361579412298
"377",-0.526121225005677
"378",-0.423167456105474
"379",-0.259413303460717
"380",-0.0849558155824581
"381",0.140137501694101
"382",0.378297603959732
"383",0.602828287588852
"384",0.879860113167512
"385",1.13061384812069
"386",1.35800589184026
"387",1.5517254083395
"388",1.69811030998613
"389",1.81553905348732
"390",1.87267824441185
"391",1.86646487803905
"392",1.80699772225206
"393",1.69611989987374
"394",1.48212834482603
"395",1.27279001571326
"396",0.973208618589496
"397",0.651716185297234
"398",0.313204396574833
"399",-0.0709751303611058
"400",-0.440382922958061
"401",-0.811788694628146
"402",-1.16254829089898
"403",-1.53071426900992
"404",-1.80549920586433
"405",-2.05969804993345
"406",-2.27178801647414
"407",-2.39939951684033
"408",-2.47795752286453
"409",-2.45971647747876
"410",-2.44067370854377
"411",-2.3028630265379
"412",-2.12731582612927
"413",-1.91533015264521
"414",-1.64541206046427
"415",-1.35722129330675
"416",-1.04038376919584
"417",-0.714441278307142
"418",-0.379480293131417
"419",-0.0960271383924042
"420",0.187160059830086
"421",0.448629572788889
"422",0.64934324262424
"423",0.829245999600708
"424",0.933828341144375
"425",0.985718265419586
"426",0.996911001617156
"427",0.929399577478552
"428",0.836042685745101
"429",0.68468831272284
"430",0.5229170532656
"431",0.329390820906344
"432",0.127038261346224
"433",-0.100591625688298
"434",-0.312104003373689
"435",-0.526534232199209
"436",-0.688838748889034
"437",-0.813602777534381
"438",-0.927993824618728
"439",-0.968946325049927
"440",-0.950313948983822
"441",-0.905976256730204
"442",-0.773087530256939
"443",-0.618840279987333
"444",-0.414412013125372
"445",-0.163877048036099
"446",0.130393201349973
"447",0.423890286091505
"448",0.755578073526775
"449",1.06284372622764
"450",1.38402486275893
"451",1.6735758757982
"452",1.94064141962008
"453",2.1440710031478
"454",2.32256837784476
"455",2.40359723190586
"456",2.45290124392184
"457",2.43595241204086
"458",2.35865775218693
"459",2.20437604852507
"460",2.01759606108175
"461",1.75826678513852
"462",1.44898434397758
"463",1.11484971077969
"464",0.750257406102552
"465",0.37663809196005
"466",-0.0101082322406773
"467",-0.386694364572169
"468",-0.717432643219329
"469",-1.03970729822645
"470",-1.29210030583649
"471",-1.54522095700859
"472",-1.70584046053709
"473",-1.83123255991041
"474",-1.87160706292859
"475",-1.87380658711371
"476",-1.83502428161024
"477",-1.72607336693929
"478",-1.54095953364906
"479",-1.36861826450468
"480",-1.11312419348905
"481",-0.875295720170757
"482",-0.636769892783625
"483",-0.378101795362934
"484",-0.111591255810656
"485",0.089118874452768
"486",0.284801117799931
"487",0.411474642082235
"488",0.508458197681014
"489",0.556206870052402
"490",0.561093674955118
"491",0.497724398370884
"492",0.400743264501345
"493",0.230678028544349
"494",0.0941235833818626
"495",-0.147935752862674
"496",-0.37681239315496
"497",-0.603096557712642
"498",-0.833353277354216
"499",-1.08465600233535
"500",-1.31646554945562
"501",-1.46789803524106
"502",-1.60896760751556
"503",-1.71890652996237
"504",-1.743733586151
"505",-1.73894228973021
"506",-1.64320528726758
"507",-1.52067693363692
"508",-1.33298466536145
"509",-1.10698445591217
"510",-0.818946842205713
"511",-0.479389531875021
"512",-0.125066706451374
"513",0.248797662271703
"514",0.623761312598872
"515",0.980596453920144
"516",1.32711896582549
"517",1.66214721037259
"518",1.93614478036417
"519",2.17328587797723
"520",2.34174086950153
"521",2.45444242081802
"522",2.52058316992693
"523",2.49017391254347
"524",2.40657343869765
"525",2.26126102412076
"526",2.08812408064382
"527",1.84369414774552
"528",1.55621005750135
"529",1.26158189126085
"530",0.930777425750766
"531",0.632594416765292
"532",0.264336884285029
"533",-0.0294255944259085
"534",-0.30150484136409
"535",-0.545119757654521
"536",-0.768010303420853
"537",-0.89858599693285
"538",-1.0205703791208
"539",-1.06318791363178
"540",-1.08661451008025
"541",-1.00641998450983
"542",-0.900098157422867
"543",-0.763207756511955
"544",-0.590543995772209
"545",-0.37151739758827
"546",-0.1659057148293
"547",0.0509546161986278
"548",0.255302440873677
"549",0.464935138706678
"550",0.613316516307654
"551",0.74863305567447
"552",0.84225904313376
"553",0.88134080533621
"554",0.85716776098294
"555",0.781824859152775
"556",0.671169421721069
"557",0.478471282227038
"558",0.279555723182615
"559",0.0383173082844938
"560",-0.24701167933723
"561",-0.553539674944884
"562",-0.847847048480259
"563",-1.1505376466979
"564",-1.45488332241744
"565",-1.71138290441587
"566",-1.9474166954603
"567",-2.14887094586492
"568",-2.30056937282325
"569",-2.38145138147862
"570",-2.39591368450487
"571",-2.34963405774358
"572",-2.26618210119895
"573",-2.10029097416592
"574",-1.85957558322963
"575",-1.58536227334968
"576",-1.2793870810333
"577",-0.925548407115291
"578",-0.574660160154558
"579",-0.165951773647875
"580",0.197896676154954
"581",0.547306028059721
"582",0.88708247347665
"583",1.20901520315237
"584",1.46665443522451
"585",1.68695979854348
"586",1.83553468226458
"587",1.96279927685664
"588",1.95073167858435
"589",1.95256808671695
"590",1.86305407136527
"591",1.74739311286839
"592",1.55495386012604
"593",1.35643039291216
"594",1.12444359678257
"595",0.869648966203974
"596",0.599940156959855
"597",0.346119774438874
"598",0.0997493519323073
"599",-0.102376197267473
"600",-0.271056956006527
"601",-0.436350894199434
"602",-0.525478626957879
"603",-0.542949831786039
"604",-0.550929668036701
"605",-0.48518304895312
"606",-0.398137064562238
"607",-0.245962477666535
"608",-0.0642218638520995
"609",0.134854906378079
"610",0.380867146637094
"611",0.605885273424609
"612",0.849395130832394
"613",1.06829484837205
"614",1.27096618581862
"615",1.41114633903724
"616",1.54059172871722
"617",1.6140324523595
"618",1.62951255720809
"619",1.59044931311652
"620",1.51498304887129
"621",1.35099783371917
"622",1.14516658691814
"623",0.899836382879485
"624",0.617485629326276
"625",0.260526399944876
"626",-0.0790344910375263
"627",-0.437267835698357
"628",-0.795223931393045
"629",-1.1653777960919
"630",-1.49461620043548
"631",-1.76789160970439
"632",-2.0316132759863
"633",-2.26010139201895
"634",-2.4138049229641
"635",-2.4978461042074
"636",-2.51265489662213
"637",-2.48293551433727
"638",-2.37523072100212
"639",-2.21036527749153
"640",-2.00366590427836
"641",-1.75585107024882
"642",-1.44367239886472
"643",-1.13714670828444
"644",-0.805007533771931
"645",-0.469901001519421
"646",-0.152546348368339
"647",0.170200138244171
"648",0.433049060283237
"649",0.674704585765545
"650",0.874556664078223
"651",1.00995801696961
"652",1.09765224474658
"653",1.13935847644499
"654",1.14129133547615
"655",1.06607400817135
"656",0.951981233717858
"657",0.791529667313032
"658",0.62076624950295
"659",0.419937176670471
"660",0.195118325335218
"661",-0.010504538343388
"662",-0.198730555807567
"663",-0.40328026934766
"664",-0.559779894550181
"665",-0.675826279830994
"666",-0.740217336051913
"667",-0.773740601168868
"668",-0.755189177553788
"669",-0.68670875830998
"670",-0.545381148450649
"671",-0.367695860305077
"672",-0.153413287186419
"673",0.0874536549359289
"674",0.372578180792741
"675",0.659858097985273
"676",0.948115418123548
"677",1.23546707760845
"678",1.52228072047243
"679",1.76773845490812
"680",1.99138742487012
"681",2.1439075635144
"682",2.24717809619758
"683",2.33529655801062
"684",2.31198902664678
"685",2.25105187001184
"686",2.10903221533462
"687",1.91822784060993
"688",1.70329493994333
"689",1.4010134452275
"690",1.06266053144352
"691",0.701581722458904
"692",0.356139612277283
"693",-0.0231738182626857
"694",-0.412835234965484
"695",-0.770898727672916
"696",-1.09553829599138
"697",-1.37537418074471
"698",-1.61776100725839
"699",-1.81564349434223
"700",-1.94165274724894
"701",-2.02844006362464
"702",-2.0259435433753
"703",-1.97420077348754
"704",-1.87492023089937
"705",-1.76465072305011
"706",-1.54431539730851
"707",-1.32297279315291
"708",-1.07668659141604
"709",-0.795631425280759
"710",-0.548137028511034
"711",-0.301431775213039
"712",-0.0560245292197441
"713",0.157206449440193
"714",0.315747118732419
"715",0.44271132955519
"716",0.537996672411461
"717",0.565248464432721
"718",0.556207882417362
"719",0.4769406855137
