"","x"
"1",2.6131800821499
"2",2.57967612728563
"3",2.47347280284473
"4",2.30759096429534
"5",2.12076105169487
"6",1.82335527030843
"7",1.51967448960447
"8",1.16818495651511
"9",0.832675586753887
"10",0.466368988451378
"11",0.128540857994022
"12",-0.220201502621405
"13",-0.552074499421081
"14",-0.836110883767743
"15",-1.04469155787202
"16",-1.23769567510092
"17",-1.37235712135812
"18",-1.44350425234709
"19",-1.45597880292914
"20",-1.4196754520466
"21",-1.32627541914254
"22",-1.17092795441391
"23",-0.995389248971186
"24",-0.78247309573599
"25",-0.574674578423891
"26",-0.346454408296401
"27",-0.112750207553447
"28",0.122062744094875
"29",0.321410675751447
"30",0.458586188896864
"31",0.588309064366488
"32",0.675472928214096
"33",0.698871101683242
"34",0.666424377971718
"35",0.581847355658073
"36",0.466584723919934
"37",0.304369031428556
"38",0.0755001377205485
"39",-0.193982085193277
"40",-0.471770854315445
"41",-0.733053836773289
"42",-1.04178499490842
"43",-1.30303938088246
"44",-1.57085012365041
"45",-1.78824830204687
"46",-1.98206119823883
"47",-2.10073329856276
"48",-2.19956548050728
"49",-2.20728362086577
"50",-2.16812222762998
"51",-2.06889107916136
"52",-1.87701227208638
"53",-1.66664502645971
"54",-1.40050333397837
"55",-1.07429844002972
"56",-0.723885887697227
"57",-0.338035931769842
"58",0.0400058520972898
"59",0.422527783173129
"60",0.816170492222769
"61",1.16748655012296
"62",1.47323509463516
"63",1.76766419709734
"64",1.98844065979515
"65",2.1758684544989
"66",2.26742456020581
"67",2.30148536300207
"68",2.29157996960003
"69",2.22386218507517
"70",2.06013817638364
"71",1.88925698073699
"72",1.6443495307353
"73",1.38826491812111
"74",1.074597629185
"75",0.803975072517846
"76",0.50661529508965
"77",0.223772236025171
"78",-0.0453790237350748
"79",-0.268592817420003
"80",-0.471918925873851
"81",-0.630003085259564
"82",-0.733096016978772
"83",-0.768462612369399
"84",-0.744249646574255
"85",-0.678816157538157
"86",-0.593891705019386
"87",-0.432222887968559
"88",-0.242411192068186
"89",-0.0222230597385583
"90",0.190503094809944
"91",0.402470408520733
"92",0.641779311071564
"93",0.836993407977151
"94",1.0186346638706
"95",1.17617319745082
"96",1.25986726653969
"97",1.3234620828974
"98",1.30580594532035
"99",1.2515346599734
"100",1.12301104630603
"101",0.959801104159951
"102",0.722421751376763
"103",0.474576928384509
"104",0.157841650103063
"105",-0.175929468831209
"106",-0.528037966745854
"107",-0.878864412462826
"108",-1.22028800628241
"109",-1.56023524052215
"110",-1.86234926881941
"111",-2.10114474512085
"112",-2.31412892637321
"113",-2.46265428873987
"114",-2.54630853969703
"115",-2.58848931706439
"116",-2.55886937875686
"117",-2.45759875154336
"118",-2.29840357294645
"119",-2.06203205447744
"120",-1.76977108479051
"121",-1.49072979003689
"122",-1.12826908528196
"123",-0.773314261474981
"124",-0.399394882055708
"125",-0.0263984276234518
"126",0.2874251026321
"127",0.641266120543525
"128",0.931268368064025
"129",1.16702187584306
"130",1.34956753032742
"131",1.4877600315227
"132",1.55742637610742
"133",1.59080544142759
"134",1.55585321627886
"135",1.46010194292337
"136",1.3138606544134
"137",1.13784642607088
"138",0.922119527546499
"139",0.700402753091497
"140",0.465134661506939
"141",0.221839657443585
"142",-0.0034381553926682
"143",-0.212702749522981
"144",-0.374709648551904
"145",-0.516116558296339
"146",-0.593196970325437
"147",-0.630608454118433
"148",-0.627553347769106
"149",-0.560101707338718
"150",-0.442045842874455
"151",-0.274347928879469
"152",-0.0784496236090765
"153",0.149231547921731
"154",0.40331729814988
"155",0.711171284934627
"156",0.986289361844729
"157",1.23348048402251
"158",1.48612131203526
"159",1.71794785266678
"160",1.87954081857767
"161",2.01466142590682
"162",2.0789852471647
"163",2.11526457216953
"164",2.05693545629496
"165",1.93367170897418
"166",1.77151737934105
"167",1.55637203854287
"168",1.29163629912169
"169",0.964951683633971
"170",0.606570572455008
"171",0.224064560913575
"172",-0.155012551245878
"173",-0.548557118332527
"174",-0.924284228423988
"175",-1.26260438383755
"176",-1.59347311511084
"177",-1.86081819324494
"178",-2.07572229460585
"179",-2.25683213266308
"180",-2.35058622284638
"181",-2.36596305923489
"182",-2.36582958739388
"183",-2.25381172473581
"184",-2.10399474108935
"185",-1.91801570537482
"186",-1.69062060937417
"187",-1.41812950728555
"188",-1.11567871232475
"189",-0.798184888025044
"190",-0.491609003917981
"191",-0.194395086525107
"192",0.0598565921283649
"193",0.305727660432053
"194",0.515727823892313
"195",0.670329445694227
"196",0.777089775888289
"197",0.83407542521576
"198",0.811795052466883
"199",0.788898574180947
"200",0.671524400190228
"201",0.533801107029246
"202",0.355632079341867
"203",0.158490829659001
"204",-0.0608320812034402
"205",-0.280441508886904
"206",-0.522690463311677
"207",-0.71436895615581
"208",-0.901074125347608
"209",-1.04073812414882
"210",-1.13333749306666
"211",-1.19032135783798
"212",-1.18303943652214
"213",-1.13516178727687
"214",-1.01296751951823
"215",-0.853567040648317
"216",-0.638118353184914
"217",-0.391056051979384
"218",-0.0780223032641399
"219",0.241228682871028
"220",0.594349873606734
"221",0.909348189767487
"222",1.26143084869314
"223",1.59344615530142
"224",1.8803081198843
"225",2.1286027170983
"226",2.31281209389071
"227",2.4670842504556
"228",2.55572787326781
"229",2.56382354379341
"230",2.49841868125687
"231",2.40723293298611
"232",2.19411270967843
"233",1.98893196233504
"234",1.71480837130247
"235",1.4176779651439
"236",1.0667059705709
"237",0.68545687359166
"238",0.304893911308341
"239",-0.0660808138711633
"240",-0.428158211090021
"241",-0.766650672156208
"242",-1.03778667884849
"243",-1.28260822479786
"244",-1.47205103125673
"245",-1.61376759154967
"246",-1.67742831900349
"247",-1.70331082591573
"248",-1.66406585195988
"249",-1.5446086495108
"250",-1.42550402166508
"251",-1.23493275386189
"252",-1.04599196443299
"253",-0.783937297963655
"254",-0.558579313998999
"255",-0.309179564876374
"256",-0.0709146291736523
"257",0.14285739603508
"258",0.318339896797781
"259",0.457635014076192
