"","BiasXP_TBATS","VarianceXP_TBATS","CPUtimeXP_TBATS"
"1",0.00571555718030493,0.000283642056233876,0.177677784352722
"2",0.0122202419771396,0.000780861483052344,NA
"3",0.0211545131659326,0.00187093380418386,NA
"4",0.03258611021243,0.00393997732352629,NA
"5",0.0465942732299901,0.00752258753220395,NA
"6",0.0630206222654702,0.0132081922100077,NA
"7",0.0816734041802613,0.0216504214301707,NA
"8",0.102230131715579,0.0334517698215608,NA
"9",0.124286314550422,0.04911445117583,NA
"10",0.147387913861652,0.0689597974441536,NA
"11",0.171027379717025,0.093059368711522,NA
"12",0.194687743864164,0.121207856352695,NA
"13",0.217845502684955,0.15288726632221,NA
"14",0.239998091315263,0.187278954656203,NA
"15",0.26067130610413,0.22328335107394,NA
"16",0.279431677611224,0.259567253459892,NA
"17",0.29589247734449,0.294633034857555,NA
"18",0.309716558387249,0.326902278699237,NA
"19",0.320618237536345,0.354817114753106,NA
"20",0.328362469999612,0.376944448912508,NA
"21",0.332763887466943,0.392079992875977,NA
"22",0.333685470775795,0.399340126512372,NA
"23",0.331037257376197,0.398234411542421,NA
"24",0.324775589482982,0.388712338699533,NA
"25",0.314902383127803,0.371179055388097,NA
"26",0.301464614391829,0.346478438613288,NA
"27",0.284553428828126,0.315843162009127,NA
"28",0.264302781635518,0.280815244093477,NA
"29",0.240887290074959,0.243143308052792,NA
"30",0.214519251357287,0.204666056441353,NA
"31",0.185444861706026,0.167193502147621,NA
"32",0.153939807135507,0.132397922687289,NA
"33",0.120304485240373,0.101725030377803,NA
"34",0.0848591358048313,0.0763326629963081,NA
"35",0.0479391202924453,0.057060249351185,NA
"36",0.00989050072871333,0.0444282352426272,NA
"37",-0.0289340617679421,0.0386633030293858,NA
"38",-0.0681791912480076,0.0397428951698633,NA
"39",-0.107490672130739,0.0474512656175035,NA
"40",-0.146519566457115,0.0614388892772431,NA
"41",-0.184926802067122,0.0812774822250257,NA
"42",-0.222388360094295,0.106504119677785,NA
"43",-0.258601028838845,0.136649968015329,NA
"44",-0.29328849120819,0.171251766694191,NA
"45",-0.326207311099861,0.2098469742028,NA
"46",-0.357152218871234,0.251955883170064,NA
"47",-0.385960003965783,0.297055582989117,NA
"48",-0.41251133052167,0.344551275415147,NA
"49",-0.436729911587039,0.393750313960919,NA
"50",-0.458578703493739,0.443843758487938,NA
"51",-0.478053090535771,0.493899411721181,NA
"52",-0.495171382625822,0.542869179234637,NA
"53",-0.509963296809339,0.589611950269018,NA
"54",-0.522457387068578,0.632930929176821,NA
"55",-0.532668580522847,0.671621739362902,NA
"56",-0.540587040042638,0.704525397920629,NA
"57",-0.546169489177441,0.730579320108373,NA
"58",-0.549333911984132,0.748860460712003,NA
"59",-0.549958204753489,0.758617421275127,NA
"60",-0.547882952045201,0.759291933698591,NA
"61",-0.542918079288978,0.750533202660046,NA
"62",-0.534852753967631,0.732209958053077,NA
"63",-0.523467616233295,0.70442429745025,NA
"64",-0.508548253371857,0.66752901224253,NA
"65",-0.489898807435947,0.622147275972003,NA
